종목명,현재가,ROE(Y),ROE(Q),BPS(Q),EPS(Q)(2),PSR(Q),배당수익률,업종구분,종목코드
KPX케미칼,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,025000
코오롱인더,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,120110
현대미포조선,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,010620
CJ,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,001040
BYC,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,001460
동원시스템즈,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,014820
한국프랜지공업,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,010100
기아자동차,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,000270
삼성화재해상보험,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,000810
현대코퍼레이션홀딩스,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,227840
한솔홈데코,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,025750
현대글로비스,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,086280
원림,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,005820
한국쉘석유,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,002960
우리금융지주,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,316140
지엠비코리아,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,013870
삼화콘덴서,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,001820
계양전기,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,012200
삼성증권,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,016360
SK증권,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,001510
GS건설,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,006360
삼영무역,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,002810
태경산업,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,015890
미원에스씨,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,268280
기신정기,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,092440
퍼시스,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,016800
현대모비스,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,012330
삼성전자,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,005930
방림,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,003610
더블유게임즈,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,192080
동성화학,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,005190
인팩,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,023810
삼성카드,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,029780
동아지질,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,028100
진양홀딩스,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,100250
미래에셋대우,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,006800
삼양패키징,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,272550
지투알,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,035000
케이티앤지,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,033780
디씨엠,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,024090
핸즈코퍼레이션,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,143210
까뮤이앤씨,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,013700
현대중공업지주,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,267250
LG전자,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,066570
대창,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,012800
이구산업,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,025820
코오롱플라스틱,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,138490
카프로,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,006380
삼아알미늄,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,006110
샘표,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,007540
SK디앤디,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,210980
BGF리테일,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,282330
한신기계공업,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,011700
진양폴리우레탄,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,010640
아주캐피탈,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,033660
SBS미디어홀딩스,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,101060
한국조선해양,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,009540
케이씨씨,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,002380
현대위아,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,011210
휴비스,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,079980
S&T중공업,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,003570
백산,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,035150
LG유플러스,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,032640
포스코인터내셔널,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,047050
디아이,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,003160
롯데정보통신,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,286940
천일고속,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,000650
대상,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,001680
한익스프레스,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,014130
태경화학,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,006890
광전자,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,017900
삼화페인트공업,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,000390
KC그린홀딩스,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,009440
신세계I&C,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,035510
디아이동일,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,001530
유니켐,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,011330
케이탑리츠,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,145270
일진전기,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,103590
신영증권,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,001720
효성티앤씨,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,298020
동원수산,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,030720
미원상사,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,002840
에이리츠,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,140910
LG하우시스,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,108670
제일연마,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,001560
동방아그로,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,007590
조일알미늄,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,018470
F&F,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,007700
백광산업,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,001340
한전KPS,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,051600
환인제약,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,016580
LS산전,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,010120
삼부토건,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,001470
우리종금,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,010050
팬오션,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,028670
삼진제약,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,005500
한라,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,014790
광동제약,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,009290
자화전자,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,033240
GKL,"5,210",4.4,2.4,"15,852",380,2.09,0.7,금융업,114090
